"sitename","means","country","rank","stats"
"Southern Khentei Taiga",-0.0172321442351816,"Mongolia",111,"existing"
"Southern Old Aspen (BERMS)",-0.0215968210073115,"Canada",81,"existing"
"Southern Old Black Spruce",-0.0146114397395578,"Canada",139.5,"existing"
"Sovetsk",-0.00107472832877306,"Russia",550,"new"
"Sovetskaya Gavan",-0.0180802939450515,"Russia",103,"new"
"Spasskaya Pad (experimental forest)",-0.0239013964739952,"Russia",65,"existing"
"Spasskaya Pad, Larch",-0.0194326719456384,"Russia",96,"existing"
"Srednekolymsk",-0.0115664823599165,"Russia",179,"new"
"St-Augustin",-0.0015142078737148,"Canada",503,"new"
"St. Anthony",-0.00129080885988958,"Canada",522,"new"
"St. John's",-0.000400599259715471,"Canada",594,"new"
"St. Petersburg",-0.00774133974430704,"Russia",242,"new"
"Starorybnoye",-0.00480922199403559,"Russia",310,"new"
"Steinkjer",-0.00835432719259481,"Kingdom of Norway",228,"new"
"Stony Rapids",-0.0141188036250365,"Canada",150,"new"
"Stordalen forest",-0.000265553406454858,"Sweden",597,"existing"
"Strelka",-0.0115441353208989,"Russia",181,"new"
"Strezhevoy",-0.00186724833191678,"Russia",464,"new"
"Sudurnes Science and Learning Center",-0.00557852243918967,"Iceland",284,"new"
"Sundsvall",-0.00212933031739424,"Sweden",444,"new"
"Suntar",-0.0142283335299444,"Russia",149,"new"
"Surgut",-0.000784428690005913,"Russia",573,"new"
"Susuman",-0.0431852562669556,"Russia",10,"new"
"Svartberget",-0.000642206803885105,"Sweden",581.5,"existing"
"Svartberget tall tower 85m",-0.000642206803885105,"Sweden",581.5,"existing"
"Svetogorsk",-0.0086053748616347,"Russia",222,"new"
"Taksimo",-0.014500817111178,"Russia",144,"new"
"Talkeetna",-0.00680566224600289,"United States",252,"new"
"Taloyoak",-0.00467856183708142,"Canada",313,"new"
"Tanacross",-0.0152541479483597,"United States",132,"new"
"Tanana",-0.00276183854775447,"United States",407,"new"
"Tasiilaq",-0.00440291515377024,"Denmark",321,"new"
"Tasiusaq",-0.0264509426424221,"Denmark",53,"new"
"Tayshet",-0.00174650645212881,"Russia",479,"new"
"Tazovsky",-0.00189772740646083,"Russia",460,"new"
"Terbyas",-0.0230491071437816,"Russia",71,"new"
"Tervalamminsuo",-0.00155016185111566,"Finland",499,"existing"
"The Arctic Research Station (former Labytnangi Ecological Research Station)",-0.00207180735556835,"Russia ",448,"new"
"The Pas",-0.00239392973241917,"Canada",431,"new"
"Tikhvin",-0.00117059494377055,"Russia",537,"new"
"Timmiarmiut",-0.0059308439105781,"Denmark",278,"new"
"Tobolsk",-0.0154437944344134,"Russia",128,"new"
"Togiak",-0.00293982854389135,"United States",391,"new"
"Trail Valley Creek (lakeside)",-0.000622409860326369,"Canada",584,"existing"
"Trail Valley Creek (tall)",-0.000516419483071041,"Canada",591,"existing"
"Trepassey",-0.00163569257802109,"Canada",491,"new"
"Trondheim",-0.00610431143079166,"Kingdom of Norway",272,"new"
"Trout River",-0.000628528155228213,"Canada",583,"new"
"Tukchi",-0.0067548689167619,"Russia",254,"new"
"Tunguskhaya",-0.0459830914126667,"Russia",7,"new"
"Tununak",-0.00139812106900958,"United States",513,"new"
"Tura",-0.0594747544413417,"Russia",2,"existing"
"Turukhansk",-0.00206393450888952,"Russia",450,"new"
"Tver",-0.00440335760232029,"Russia",320,"existing"
"Tynda",-0.0350610423499743,"Russia",20,"new"
"Tønsberg",-0.00440179825675801,"Kingdom of Norway",322,"new"
"UCI-1850 burn site",-0.0171111994422694,"Canada",113,"existing"
"UCI-1930 burn site",-0.0187589808849963,"Canada",99,"existing"
"UCI-1964 burn site",-8.45180758583374e-05,"Canada",603.5,"existing"
"UCI-1964 burn site wet",-8.45180758583374e-05,"Canada",603.5,"existing"
"UCI-1981 burn site",-0.0216739550239663,"Canada",80,"existing"
"UCI-1989 burn site",-0.0225093240454845,"Canada",75,"existing"
"UCI-1998 burn site",-0.0302791825397129,"Canada",36,"existing"
"UCI-2003 burn site",-0.00226335396184249,"Canada",437,"existing"
"Uapishka Research Station",-0.0106188609762467,"Canada",190,"new"
"Udachnyy",-0.0445265968244412,"Russia",9,"new"
"Udleg Forest Research Station",-0.00352803191911999,"Mongolia",356.5,"existing"
"Uglegorsk",-0.00153592733925523,"Russia",500,"new"
"Ugolnye Kopi",-0.00220839157731698,"Russia",441,"new"
"Ukhta",-0.00119847184617327,"Russia",532,"new"
"Ulkan",-0.00811893124844845,"Russia",234,"new"
"Umba",-0.00616890463748164,"Russia",270,"new"
"Umiujaq",-0.011785785773737,"Canada",176,"existing"
"Unalakleet",-0.00494076108424208,"United States",304,"new"
"Unalaska",-0.00379360641176901,"United States",347,"new"
"Upad",-0.00064539099572905,"USA",580,"existing"
"Uranium City",-0.0196388313351487,"Canada",91,"new"
"Uray",-0.00310807188870335,"Russia",381,"new"
"Usinsk",-0.00378123358839562,"Russia",349,"new"
"Ust Kut",-0.0292383367761766,"Russia",42,"new"
"Ust Kuyga",-0.0464751541772461,"Russia",6,"new"
"Ust Nera",-0.0273561375420417,"Russia",48,"new"
"Ust Pojeg",-0.00243395429612734,"Russia",428,"existing"
"Ust-Ulimsk",-0.0168633956607245,"Russia",116,"new"
"Utikuma Region, Northern Study Area",-0.0224830285886063,"Canada",76,"existing"
"Utkholok",-0.0171450162336072,"Russia",112,"new"
"Uummannaq",-0.0234154629504697,"Denmark",68,"new"
"Vaasa",-0.0100710631638533,"Finland",199,"new"
"Vadsø",-0.00811753824347698,"Kingdom of Norway",235,"new"
"Vaerrioe",-0.00275002744364535,"Finland",408,"existing"
"Val d'Or",-0.00247890330139332,"Canada",420,"new"
"Valdez",-0.00426909966861879,"United States",328,"new"
"Vallanes",-0.00603832224551267,"Iceland",275,"existing"
"Vanino",-0.0142323656089551,"Russia",148,"new"
"Varnek",-0.00396182656543075,"Russia",340,"new"
"Velikiy Ustyug",-0.00132196466855628,"Russia",520,"new"
"Velsk",-0.00140605737289946,"Russia",511,"new"
"Verkhnevilyuysk",-0.000396828732816223,"Russia",595,"new"
"Verkhniy Ufaley",-0.00323261357836771,"Russia",374,"new"
"Verkhnyaya Salda",-0.00177478696388537,"Russia",472,"new"
"Verkhoyansk",-0.0137605557170952,"Russia",156,"new"
"Vichuga",-0.00369979196524914,"Russia",351,"new"
"Vikhorevka",-0.00133634842575846,"Russia",519,"new"
"Villum Research Station (VRS)",-0.019581558878219,"Greenland (Denmark)",93,"new"
"Vilyuysk",-0.000909273525850509,"Russia",560,"new"
"Vitim",-0.0371635700896978,"Russia",15,"new"
"Volkhov",-0.00840162441365237,"Russia",226,"new"
"Vologda",-0.00104343648067004,"Russia",555,"new"
"Vyborg",-0.00105006821227817,"Russia",553,"new"
"Wales",-0.0100644845111517,"United States",200,"new"
"Wasilla",-0.00109783966861537,"United States",547,"new"
"Watson Lake",-0.00875930808171954,"Canada",218,"new"
"Wawa",-0.0103676430611376,"Canada",193,"new"
"Willem Barentsz Biological Station",-0.00198363071042809,"Russia",454,"new"
"Wiseman",-0.035616889616157,"United States",19,"new"
"Wolf Creek Buckbrush",-0.00679363602326952,"Canada",253,"existing"
"Wolf Creek Forest",-0.0104090446004274,"Canada",191,"existing"
"Wolf Creek Sparse Shrub",-0.00565732612894584,"Canada",282,"existing"
"Wolf Creek Upper Forest",-0.0120525516446039,"Canada",175,"existing"
"Yakutsk-Larch",-0.0229800385366692,"Russia",72,"existing"
"Yakutsk-Pine",-0.0246607905216736,"Russia",61,"existing"
"Yamburg",-0.00341892015853012,"Russia",363,"new"
"Yaroslavl",-0.00119119606688684,"Russia",534,"new"
"Yekaterinburg",-0.000707739551875329,"Russia",577,"new"
"Yellowknife",-0.0122071490984615,"Canada",174,"new"
"Yeniseysk",-0.00346721937616537,"Russia",360,"new"
"Yerema",-0.00649224698655862,"Russia",261,"new"
"Yessey",-0.055369876348903,"Russia",3,"new"
"Yoshkar Ola",-0.000730459895100133,"Russia",575,"new"
"Yuzhno Sakhalinsk",-0.00153551318348282,"Russia",501,"new"
"ZOTTO bog (old)",-0.0081895374525914,"Russia",231,"existing"
"ZOTTO forest (old)",-0.0248311190392148,"Russia",56.5,"existing"
"ZOTTO-Bog EC",-0.00404361276518203,"Russia",337,"existing"
"ZOTTO-Forest EC",-0.0248311190392148,"Russia",56.5,"existing"
"Zackenberg, Fen",-0.0183190695826657,"Greenland",100,"existing"
"Zackenberg, Heath",-0.0200587299941403,"Greenland",88,"existing"
"Zemlya Bunge",-0.00659658482350125,"Russia",259,"new"
"Zheleznogorsk Ilimskiy",-0.0135230587213672,"Russia",161,"new"
"Zhigansk",-0.00713447713776646,"Russia",248,"new"
"Zhilinda",-0.0451620621436956,"Russia",8,"new"
"Zima",-0.00150895259345403,"Russia",506,"new"
"Zlatoust",-0.01017397152937,"Russia",198,"new"
"Zotino East, Birch Stand",-0.00498676703796215,"Russia",301,"existing"
"Zotino East, Mixed Stand",-0.00395465206414172,"Russia",341,"existing"
"Zotino East, Pole Stand",-0.0061232328715724,"Russia",271,"existing"
"Zotino forest West (old)",-0.0102157558243369,"Russia",196,"existing"
"Zvëzdnyj",-0.0133278167344344,"Russia",164,"new"
"Zyryanka",-0.00872842948490306,"Russia",220,"new"
"Ålesund",-0.00287901753754435,"Kingdom of Norway",396,"new"
"Ísafjörður",-0.00987961543175752,"Iceland",209,"new"
"Östersund",-0.0037833734724417,"Sweden",348,"new"
